"Step","a100_fw1b_l22_decoupled_s1337_paper_sem8geo32v40:train - tok_s","a100_fw1b_l22_decoupled_s1337_paper_sem8geo32v40:train - tok_s__MIN","a100_fw1b_l22_decoupled_s1337_paper_sem8geo32v40:train - tok_s__MAX","a100_fw1b_l22_decoupled_s1337_paper_strict:train - tok_s","a100_fw1b_l22_decoupled_s1337_paper_strict:train - tok_s__MIN","a100_fw1b_l22_decoupled_s1337_paper_strict:train - tok_s__MAX","a100_fw1b_l22_baseline_s1337_paper_strict:train - tok_s","a100_fw1b_l22_baseline_s1337_paper_strict:train - tok_s__MIN","a100_fw1b_l22_baseline_s1337_paper_strict:train - tok_s__MAX"
"1311","18113.304436441278","18113.304436441278","18113.304436441278","12667.204061222812","12667.204061222812","12667.204061222812","17657.896728670334","17657.896728670334","17657.896728670334"
"1321","18111.541562213686","18111.541562213686","18111.541562213686","12860.687662188831","12860.687662188831","12860.687662188831","17916.097769107677","17916.097769107677","17916.097769107677"
"1331","18340.530721197316","18340.530721197316","18340.530721197316","13289.520173816141","13289.520173816141","13289.520173816141","17785.56320865702","17785.56320865702","17785.56320865702"
"1341","18409.73532802255","18409.73532802255","18409.73532802255","13067.754536230772","13067.754536230772","13067.754536230772","17909.206654006997","17909.206654006997","17909.206654006997"
"1351","18265.478012363896","18265.478012363896","18265.478012363896","12989.890649504203","12989.890649504203","12989.890649504203","17854.42802671595","17854.42802671595","17854.42802671595"
"1361","18378.026640953638","18378.026640953638","18378.026640953638","13257.583107309581","13257.583107309581","13257.583107309581","17820.36909898829","17820.36909898829","17820.36909898829"
"1371","18317.95892757615","18317.95892757615","18317.95892757615","13402.028509351054","13402.028509351054","13402.028509351054","17852.90091868786","17852.90091868786","17852.90091868786"
"1381","18202.49253847037","18202.49253847037","18202.49253847037","13239.90990184267","13239.90990184267","13239.90990184267","17605.682313998357","17605.682313998357","17605.682313998357"
"1391","18141.10040377051","18141.10040377051","18141.10040377051","9711.707620947338","9711.707620947338","9711.707620947338","17564.455317489657","17564.455317489657","17564.455317489657"
"1401","18275.505818013065","18275.505818013065","18275.505818013065","12150.110002305279","12150.110002305279","12150.110002305279","17905.421591767696","17905.421591767696","17905.421591767696"
"1411","18224.17699335731","18224.17699335731","18224.17699335731","12387.594032118583","12387.594032118583","12387.594032118583","17536.351283963533","17536.351283963533","17536.351283963533"
"1421","18127.56074659527","18127.56074659527","18127.56074659527","12300.820823593784","12300.820823593784","12300.820823593784","17775.29738162797","17775.29738162797","17775.29738162797"
"1431","18310.986035166767","18310.986035166767","18310.986035166767","12431.104409395275","12431.104409395275","12431.104409395275","17681.393341712785","17681.393341712785","17681.393341712785"
"1441","17341.298963484103","17341.298963484103","17341.298963484103","12613.708395464022","12613.708395464022","12613.708395464022","17807.164822451527","17807.164822451527","17807.164822451527"
"1451","17640.443594722594","17640.443594722594","17640.443594722594","13033.911875497537","13033.911875497537","13033.911875497537","17668.094042228637","17668.094042228637","17668.094042228637"
"1461","18053.136452501258","18053.136452501258","18053.136452501258","12609.716395938207","12609.716395938207","12609.716395938207","17838.9187339068","17838.9187339068","17838.9187339068"
"1471","17970.428375624128","17970.428375624128","17970.428375624128","12963.12692163116","12963.12692163116","12963.12692163116","17794.847649428862","17794.847649428862","17794.847649428862"
"1481","18110.68738143645","18110.68738143645","18110.68738143645","12860.68565021523","12860.68565021523","12860.68565021523","17888.662649970884","17888.662649970884","17888.662649970884"
"1491","18072.787179675128","18072.787179675128","18072.787179675128","13082.05205344625","13082.05205344625","13082.05205344625","17780.673559495448","17780.673559495448","17780.673559495448"
"1501","17965.47168079503","17965.47168079503","17965.47168079503","13309.086009981722","13309.086009981722","13309.086009981722","17891.243911596386","17891.243911596386","17891.243911596386"
"1511","17953.402249900006","17953.402249900006","17953.402249900006","13106.503240165715","13106.503240165715","13106.503240165715","17763.617996578592","17763.617996578592","17763.617996578592"
"1521","18053.43146796857","18053.43146796857","18053.43146796857","13141.01380488043","13141.01380488043","13141.01380488043","17781.28891401405","17781.28891401405","17781.28891401405"
