"Step","a100_fw1b_l22_decoupled_s1337_paper_strict:train - loss","a100_fw1b_l22_decoupled_s1337_paper_strict:train - loss__MIN","a100_fw1b_l22_decoupled_s1337_paper_strict:train - loss__MAX","a100_fw1b_l22_baseline_s1337_paper_strict:train - loss","a100_fw1b_l22_baseline_s1337_paper_strict:train - loss__MIN","a100_fw1b_l22_baseline_s1337_paper_strict:train - loss__MAX"
"841","5.2734375","5.2734375","5.2734375","5.25","5.25","5.25"
"851","5.265625","5.265625","5.265625","5.125","5.125","5.125"
"861","5.4609375","5.4609375","5.4609375","5.15625","5.15625","5.15625"
"871","5.2734375","5.2734375","5.2734375","5.21875","5.21875","5.21875"
"881","5.3828125","5.3828125","5.3828125","5.2421875","5.2421875","5.2421875"
"891","5.265625","5.265625","5.265625","5.15625","5.15625","5.15625"
"901","5.2265625","5.2265625","5.2265625","5.265625","5.265625","5.265625"
"911","5.3125","5.3125","5.3125","5.1875","5.1875","5.1875"
"921","5.328125","5.328125","5.328125","5.171875","5.171875","5.171875"
"931","5.296875","5.296875","5.296875","5.015625","5.015625","5.015625"
"941","5.296875","5.296875","5.296875","5.21875","5.21875","5.21875"
"951","5.2890625","5.2890625","5.2890625","5.09375","5.09375","5.09375"
"961","5.3359375","5.3359375","5.3359375","5.1171875","5.1171875","5.1171875"
"971","5.328125","5.328125","5.328125","5.0078125","5.0078125","5.0078125"
"981","5.2265625","5.2265625","5.2265625","5.171875","5.171875","5.171875"
"991","5.21875","5.21875","5.21875","4.984375","4.984375","4.984375"
"1001","5.2421875","5.2421875","5.2421875","4.9140625","4.9140625","4.9140625"
"1011","5.25","5.25","5.25","5.015625","5.015625","5.015625"
"1021","5.1640625","5.1640625","5.1640625","5.1328125","5.1328125","5.1328125"
"1031","5.0703125","5.0703125","5.0703125","4.9921875","4.9921875","4.9921875"
"1041","5.265625","5.265625","5.265625","5.1171875","5.1171875","5.1171875"
"1051","5.0625","5.0625","5.0625","5","5","5"
"1061","5.0703125","5.0703125","5.0703125","5.0390625","5.0390625","5.0390625"
"1071","4.96875","4.96875","4.96875","5.03125","5.03125","5.03125"
"1081","4.984375","4.984375","4.984375","5.0078125","5.0078125","5.0078125"
"1091","5.0390625","5.0390625","5.0390625","4.9453125","4.9453125","4.9453125"
"1101","5.09375","5.09375","5.09375","4.875","4.875","4.875"
"1111","5.0078125","5.0078125","5.0078125","4.9609375","4.9609375","4.9609375"
"1121","5.0234375","5.0234375","5.0234375","5.0546875","5.0546875","5.0546875"
"1131","5.109375","5.109375","5.109375","4.921875","4.921875","4.921875"
"1141","4.9609375","4.9609375","4.9609375","4.7890625","4.7890625","4.7890625"
"1151","4.9453125","4.9453125","4.9453125","4.7734375","4.7734375","4.7734375"
"1161","5.0390625","5.0390625","5.0390625","4.875","4.875","4.875"
"1171","4.9765625","4.9765625","4.9765625","4.875","4.875","4.875"
"1181","5.0078125","5.0078125","5.0078125","4.828125","4.828125","4.828125"
"1191","4.8203125","4.8203125","4.8203125","4.9765625","4.9765625","4.9765625"
"1201","4.796875","4.796875","4.796875","4.90625","4.90625","4.90625"
"1211","4.8359375","4.8359375","4.8359375","4.765625","4.765625","4.765625"
"1221","4.8515625","4.8515625","4.8515625","4.7578125","4.7578125","4.7578125"
"1231","4.9765625","4.9765625","4.9765625","4.796875","4.796875","4.796875"
"1241","4.9140625","4.9140625","4.9140625","4.953125","4.953125","4.953125"
"1251","4.953125","4.953125","4.953125","4.8828125","4.8828125","4.8828125"
"1261","4.8125","4.8125","4.8125","4.828125","4.828125","4.828125"
"1271","4.921875","4.921875","4.921875","4.7109375","4.7109375","4.7109375"
"1281","4.8125","4.8125","4.8125","4.8984375","4.8984375","4.8984375"
"1291","4.953125","4.953125","4.953125","4.7265625","4.7265625","4.7265625"
"1301","4.8515625","4.8515625","4.8515625","4.78125","4.78125","4.78125"
"1311","4.8828125","4.8828125","4.8828125","4.828125","4.828125","4.828125"
"1321","4.96875","4.96875","4.96875","4.703125","4.703125","4.703125"
"1331","4.7734375","4.7734375","4.7734375","4.8203125","4.8203125","4.8203125"
"1341","4.8046875","4.8046875","4.8046875","4.734375","4.734375","4.734375"
"1351","4.8828125","4.8828125","4.8828125","4.703125","4.703125","4.703125"
"1361","4.921875","4.921875","4.921875","4.5","4.5","4.5"
"1371","4.9140625","4.9140625","4.9140625","4.734375","4.734375","4.734375"
"1381","4.8203125","4.8203125","4.8203125","4.8203125","4.8203125","4.8203125"
"1391","4.7421875","4.7421875","4.7421875","4.671875","4.671875","4.671875"
"1401","4.6953125","4.6953125","4.6953125","4.828125","4.828125","4.828125"
"1411","4.7578125","4.7578125","4.7578125","4.640625","4.640625","4.640625"
"1421","4.7734375","4.7734375","4.7734375","4.765625","4.765625","4.765625"
"1431","4.71875","4.71875","4.71875","4.7109375","4.7109375","4.7109375"
"1441","4.9140625","4.9140625","4.9140625","4.6640625","4.6640625","4.6640625"
"1451","4.84375","4.84375","4.84375","4.7578125","4.7578125","4.7578125"
"1461","4.75","4.75","4.75","4.5703125","4.5703125","4.5703125"
"1471","4.796875","4.796875","4.796875","4.984375","4.984375","4.984375"
"1481","4.7890625","4.7890625","4.7890625","4.734375","4.734375","4.734375"
"1491","4.78125","4.78125","4.78125","4.6953125","4.6953125","4.6953125"
"1501","4.6484375","4.6484375","4.6484375","4.59375","4.59375","4.59375"
"1511","4.71875","4.71875","4.71875","4.625","4.625","4.625"
"1521","4.703125","4.703125","4.703125","4.5546875","4.5546875","4.5546875"
"1531","4.734375","4.734375","4.734375","4.71875","4.71875","4.71875"
"1541","4.890625","4.890625","4.890625","4.625","4.625","4.625"
"1551","4.75","4.75","4.75","4.6875","4.6875","4.6875"
"1561","4.7265625","4.7265625","4.7265625","4.6640625","4.6640625","4.6640625"
"1571","4.6875","4.6875","4.6875","4.53125","4.53125","4.53125"
"1581","4.7421875","4.7421875","4.7421875","4.5234375","4.5234375","4.5234375"
"1591","4.59375","4.59375","4.59375","4.4921875","4.4921875","4.4921875"
"1601","4.6015625","4.6015625","4.6015625","4.53125","4.53125","4.53125"
"1611","4.640625","4.640625","4.640625","4.59375","4.59375","4.59375"
"1621","4.8125","4.8125","4.8125","4.5703125","4.5703125","4.5703125"
"1631","4.7734375","4.7734375","4.7734375","4.59375","4.59375","4.59375"
"1641","4.6953125","4.6953125","4.6953125","4.59375","4.59375","4.59375"
"1651","4.671875","4.671875","4.671875","4.5234375","4.5234375","4.5234375"
"1661","4.703125","4.703125","4.703125","4.5","4.5","4.5"
"1671","4.625","4.625","4.625","4.5390625","4.5390625","4.5390625"
"1681","4.6484375","4.6484375","4.6484375","4.40625","4.40625","4.40625"
"1691","4.75","4.75","4.75","4.34375","4.34375","4.34375"
"1701","4.4296875","4.4296875","4.4296875","4.53125","4.53125","4.53125"
"1711","4.578125","4.578125","4.578125","4.5546875","4.5546875","4.5546875"
"1721","4.640625","4.640625","4.640625","4.6171875","4.6171875","4.6171875"
"1731","4.640625","4.640625","4.640625","4.46875","4.46875","4.46875"
"1741","4.5546875","4.5546875","4.5546875","4.546875","4.546875","4.546875"
"1751","4.6015625","4.6015625","4.6015625","4.5234375","4.5234375","4.5234375"
"1761","4.671875","4.671875","4.671875","4.3984375","4.3984375","4.3984375"
"1771","4.640625","4.640625","4.640625","4.53125","4.53125","4.53125"
"1781","4.5703125","4.5703125","4.5703125","4.3671875","4.3671875","4.3671875"
"1791","4.5","4.5","4.5","4.5625","4.5625","4.5625"
"1801","4.640625","4.640625","4.640625","4.5078125","4.5078125","4.5078125"
"1811","4.6796875","4.6796875","4.6796875","4.4375","4.4375","4.4375"
"1821","4.5390625","4.5390625","4.5390625","4.4296875","4.4296875","4.4296875"
"1831","4.578125","4.578125","4.578125","4.3828125","4.3828125","4.3828125"
"1841","4.609375","4.609375","4.609375","4.3515625","4.3515625","4.3515625"
"1851","4.578125","4.578125","4.578125","4.578125","4.578125","4.578125"
"1861","4.578125","4.578125","4.578125","4.484375","4.484375","4.484375"
"1871","4.5390625","4.5390625","4.5390625","4.5234375","4.5234375","4.5234375"
"1881","4.5078125","4.5078125","4.5078125","4.421875","4.421875","4.421875"
"1891","4.375","4.375","4.375","4.296875","4.296875","4.296875"
"1901","4.4921875","4.4921875","4.4921875","4.3984375","4.3984375","4.3984375"
"1911","4.4453125","4.4453125","4.4453125","4.3515625","4.3515625","4.3515625"
"1921","4.4296875","4.4296875","4.4296875","4.390625","4.390625","4.390625"
"1931","4.4921875","4.4921875","4.4921875","4.40625","4.40625","4.40625"
"1941","4.359375","4.359375","4.359375","4.34375","4.34375","4.34375"
"1951","4.421875","4.421875","4.421875","4.3984375","4.3984375","4.3984375"
"1961","4.46875","4.46875","4.46875","4.515625","4.515625","4.515625"
"1971","4.515625","4.515625","4.515625","4.421875","4.421875","4.421875"
"1981","4.53125","4.53125","4.53125","4.25","4.25","4.25"
"1991","4.4375","4.4375","4.4375","4.328125","4.328125","4.328125"
"2001","4.453125","4.453125","4.453125","4.2109375","4.2109375","4.2109375"
"2011","4.5078125","4.5078125","4.5078125","4.203125","4.203125","4.203125"
"2021","4.5078125","4.5078125","4.5078125","4.375","4.375","4.375"
"2031","4.359375","4.359375","4.359375","4.3125","4.3125","4.3125"
"2041","4.4765625","4.4765625","4.4765625","4.3515625","4.3515625","4.3515625"
"2051","4.4453125","4.4453125","4.4453125","4.2578125","4.2578125","4.2578125"
"2061","4.4375","4.4375","4.4375","4.3828125","4.3828125","4.3828125"
"2071","4.4765625","4.4765625","4.4765625","4.3671875","4.3671875","4.3671875"
"2081","4.3515625","4.3515625","4.3515625","4.328125","4.328125","4.328125"
"2091","4.3671875","4.3671875","4.3671875","4.28125","4.28125","4.28125"
"2101","4.4453125","4.4453125","4.4453125","4.3984375","4.3984375","4.3984375"
"2111","4.390625","4.390625","4.390625","4.3125","4.3125","4.3125"
"2121","4.3828125","4.3828125","4.3828125","4.296875","4.296875","4.296875"
"2131","4.5","4.5","4.5","4.4296875","4.4296875","4.4296875"
"2141","4.3671875","4.3671875","4.3671875","4.2734375","4.2734375","4.2734375"
"2151","4.3203125","4.3203125","4.3203125","4.234375","4.234375","4.234375"
"2161","4.3125","4.3125","4.3125","4.2578125","4.2578125","4.2578125"
"2171","4.3046875","4.3046875","4.3046875","4.3515625","4.3515625","4.3515625"
"2181","4.3359375","4.3359375","4.3359375","4.265625","4.265625","4.265625"
"2191","4.328125","4.328125","4.328125","4.171875","4.171875","4.171875"
"2201","4.26171875","4.26171875","4.26171875","4.2890625","4.2890625","4.2890625"
"2211","4.296875","4.296875","4.296875","4.3515625","4.3515625","4.3515625"
"2221","4.46875","4.46875","4.46875","4.390625","4.390625","4.390625"
"2231","4.4375","4.4375","4.4375","4.234375","4.234375","4.234375"
"2241","4.1796875","4.1796875","4.1796875","4.34375","4.34375","4.34375"
"2251","4.3203125","4.3203125","4.3203125","4.2890625","4.2890625","4.2890625"
"2261","4.484375","4.484375","4.484375","4.203125","4.203125","4.203125"
"2271","4.3515625","4.3515625","4.3515625","4.3984375","4.3984375","4.3984375"
"2281","4.2734375","4.2734375","4.2734375","4.203125","4.203125","4.203125"
"2291","4.19921875","4.19921875","4.19921875","4.1796875","4.1796875","4.1796875"
"2301","4.21875","4.21875","4.21875","4.203125","4.203125","4.203125"
"2311","4.23046875","4.23046875","4.23046875","4.328125","4.328125","4.328125"
"2321","4.1015625","4.1015625","4.1015625","4.21875","4.21875","4.21875"
