metric,baseline,dba_sem8geo32,delta,delta_pct
final_loss,2.671405792236328,2.678921937942505,0.007516145706176758,0.2813554469343546
final_ppl,14.460283064583116,14.5693781326761,0.10909506809298364,0.7544462830066239
final_grad_norm,0.2677885890007019,0.3553224802017212,0.08753389120101929,32.68768528474895
mean_loss,3.9757967265896825,2.944184785485268,-1.0316119411044147,-25.947300932291373
mean_grad_norm,0.3036229109110416,0.32187471904158593,0.018251808130544334,6.0113408687699215
std_grad_norm,0.1785455161611698,0.09396072213121114,-0.08458479402995865,-47.37435912622163
steps_at_clip,439.0,111.0,-328.0,-74.71526195899773
mean_throughput_tok_s,24039.156642410984,25004.281975968697,965.125333557713,4.014805294188211
mean_ms_step,2707.8716659499623,2621.1151175833306,-86.7565483666317,-3.2038648455002097
params_mb,2549.17578125,2285.17578125,-264.0,-10.356288567536382
optim_mb,15295.0546875,13711.0546875,-1584.0,-10.356288567536382
